character,pinyin,grade,unit,tts_hint,common_words,image_path
天,tiān,1,1,天空的天,"天空,天气,天堂",/static/images/天.png
地,dì,1,1,土地的地,"土地,大地,地球",/static/images/地.png
人,rén,1,1,人们的人,"人,人们,人口",/static/images/人.png
你,nǐ,1,1,你们的你,"你,你们,你我",/static/images/你.png
我,wǒ,1,1,我们的我,"我,我们,我国",/static/images/我.png
他,tā,1,1,他们的他,"他的,他们,他她",/static/images/他.png
一,yī,1,1,一个的一,"一个,一个子,一个样",/static/images/一.png
二,èr,1,1,二个的二,"二个,二次,二倍",/static/images/二.png
三,sān,1,1,三个的三,"三,三个,三角",/static/images/三.png
四,sì,1,1,四个的四,"四个,四方,四季",/static/images/四.png
五,wǔ,1,1,五天的五,"五天,五个,五彩",/static/images/五.png
上,shàng,1,1,上学的上,"上,上学,上面",/static/images/上.png
下,xià,1,1,下面的下,"下面,下来,下雨",/static/images/下.png
口,kǒu,1,1,口渴的口,"口渴,门口,人口",/static/images/口.png
耳,ěr,1,1,耳朵的耳,"耳朵,耳机,耳环",/static/images/耳.png
目,mù,1,1,目的的目,"目的,目光,目标",/static/images/目.png
手,shǒu,1,1,手指的手,"手,手指,手心",/static/images/手.png
足,zú,1,1,足球的足,"足球,足够",/static/images/足.png
站,zhàn,1,1,站立的站,"站立,车站,站台",/static/images/站.png
坐,zuò,1,1,坐下的坐,"坐,坐着,坐下",/static/images/坐.png
日,rì,1,1,日子的日,"日子,日出,日常",/static/images/日.png
月,yuè,1,1,月亮的月,"月亮,月饼,月光",/static/images/月.png
水,shuǐ,1,1,河水的水,"水,河水,海水",/static/images/水.png
火,huǒ,1,1,火光的火,"火光,火焰,火苗",/static/images/火.png
山,shān,1,1,山峰的山,"山,山峰,山水",/static/images/山.png
石,shí,1,1,石头的石,"石头,石桥,石子",/static/images/石.png
田,tián,1,1,田地的田,"田地,田螺,田埂",/static/images/田.png
禾,hé,1,1,禾苗的禾,"禾苗,禾穗,禾本科",/static/images/禾.png
对,duì,1,1,对错的对,"对错,对号",/static/images/对.png
云,yún,1,1,云朵的云,"云朵,云彩,云层",/static/images/云.png
雨,yǔ,1,1,雨点的雨,"雨点,雨伞,雨衣",/static/images/雨.png
风,fēng,1,1,风景的风,"风,风景,风暴",/static/images/风.png
花,huā,1,1,花朵的花,"花朵,花生,花瓣",/static/images/花.png
鸟,niǎo,1,1,鸟儿的鸟,鸟儿,/static/images/鸟.png
虫,chóng,1,1,虫子的虫,虫子,/static/images/虫.png
六,liù,1,1,六个的六,"六,六个,六边形",/static/images/六.png
七,qī,1,1,七个的七,"七个,七星,七彩",/static/images/七.png
八,bā,1,1,八个的八,"八,八个,八字",/static/images/八.png
九,jiǔ,1,1,九个的九,"九个,九月,九岁",/static/images/九.png
十,shí,1,1,十个的十,"十个,十分,十字",/static/images/十.png
爸,bà,1,1,爸爸的爸,"爸爸,爸爸的,爸爸们",/static/images/爸.png
妈,mā,1,1,妈妈们的妈,"妈妈,妈妈们,妈妈的爱",/static/images/妈.png
马,mǎ,1,1,马上的马,"马,马上,马路",/static/images/马.png
土,tǔ,1,1,土地的土,"土地,土地公,泥土",/static/images/土.png
不,bù,1,1,不好的不,"不,不好,不是",/static/images/不.png
画,huà,1,1,图画的画,"图画,画画,画面",/static/images/画.png
打,dǎ,1,1,打扫的打,"打,打扫,打电话",/static/images/打.png
棋,qí,1,1,棋子的棋,"棋子,象棋,棋局",/static/images/棋.png
鸡,jī,1,1,鸡蛋的鸡,"鸡,鸡蛋,鸡毛",/static/images/鸡.png
字,zì,1,1,字条的字,"字条,写字,字典",/static/images/字.png
词,cí,1,1,词语的词,"词语,单词,词组",/static/images/词.png
语,yǔ,1,1,语言的语,"语言,语文",/static/images/语.png
句,jù,1,1,句子的句,"句子,句子读,句子写",/static/images/句.png
子,zi,1,1,儿子的子,"儿子,孙子",/static/images/子.png
桌,zhuō,1,1,桌子的桌,"桌子,课桌,餐桌",/static/images/桌.png
纸,zhǐ,1,1,报纸的纸,"纸,报纸,纸张",/static/images/纸.png
妹,mèi,1,1,姐妹的妹,"妹妹,姐妹,妹妹花",/static/images/妹.png
奶,nǎi,1,1,牛奶的奶,"牛奶,奶奶,奶昔",/static/images/奶.png
小,xiǎo,1,1,小河的小,"小河,小草,小树",/static/images/小.png
桥,qiáo,1,1,大桥的桥,"桥,大桥,桥梁",/static/images/桥.png
台,tái,1,1,电视台的台,"电视台,台灯,台面",/static/images/台.png
雪,xuě,1,1,雪花的雪,"雪花,雪人,雪地",/static/images/雪.png
儿,ér,1,1,儿子的儿,"儿子,儿女,儿子们",/static/images/儿.png
白,bái,1,1,白纸的白,"白纸,白云,白天",/static/images/白.png
草,cǎo,1,1,草地的草,"草,草地,草原,草帽",/static/images/草.png
家,jiā,1,1,家庭的家,"家,家庭,家乡",/static/images/家.png
是,shì,1,1,是的是的是,"是的是,是的,是非",/static/images/是.png
车,chē,1,1,汽车的车,"汽车,火车,自行车",/static/images/车.png
路,lù,1,1,道路的路,"路,道路,马路",/static/images/路.png
灯,dēng,1,1,台灯的灯,"台灯,路灯,灯笼",/static/images/灯.png
走,zǒu,1,1,行走的走,"走,行走,走路",/static/images/走.png
文,wén,1,1,文化的文,"文化,文学,文具",/static/images/文.png
数,shù,1,1,数学的数,"数数,数学,数字",/static/images/数.png
学,xué,1,1,学习的学,"学习,学校,学生",/static/images/学.png
音,yīn,1,1,音乐的音,"音乐,音响,音量",/static/images/音.png
乐,lè,1,1,快乐的乐,"快乐,乐趣,乐章",/static/images/乐.png
秋,qiū,1,1,秋天的秋,"秋天,秋风,秋收",/static/images/秋.png
气,qì,1,1,气球的气,"气球,生气,气体",/static/images/气.png
了,le,1,1,了的了的了,了的了,/static/images/了.png
树,shù,1,1,树木的树,"树,树木,树林",/static/images/树.png
叶,yè,1,1,叶子的叶,"叶子,树叶,叶脉",/static/images/叶.png
片,piàn,1,1,纸片的片,"一片,纸片,碎片",/static/images/片.png
大,dà,1,1,大小的大,"大,大小,大人",/static/images/大.png
飞,fēi,1,1,飞机的飞,"飞,飞机,飞翔",/static/images/飞.png
会,huì,1,1,会开的会,"会开,会合,会话",/static/images/会.png
个,gè,1,1,一个的个,"一个,个人,个别",/static/images/个.png
船,chuán,1,1,小船的船,"小船,帆船,游船",/static/images/船.png
两,liǎng,1,1,两个的两,"两个,两个苹果,两个朋友",/static/images/两.png
头,tóu,1,1,头发的头,"头发,头脑,抬头",/static/images/头.png
在,zài,1,1,在家的在,"在,在家,现在",/static/images/在.png
里,lǐ,1,1,家里的里,"家里,里面,里头",/static/images/里.png
看,kàn,1,1,看见的看,"看,看见,看书",/static/images/看.png
见,jiàn,1,1,看见的见,"看见,见面,见义勇为",/static/images/见.png
闪,shǎn,1,1,闪亮的闪,"闪亮,闪电,闪现",/static/images/闪.png
星,xīng,1,1,星光的星,"星星,星光,星际",/static/images/星.png
江,jiāng,1,1,江水的江,"江水,江河,长江",/static/images/江.png
南,nán,1,1,南方的南,"南方,南极,南边",/static/images/南.png
可,kě,1,1,可爱的可,"可爱,可能,可以",/static/images/可.png
采,cǎi,1,1,采花的采,"采花,采摘,采集",/static/images/采.png
莲,lián,1,1,莲花的莲,"莲花,莲蓬,莲藕",/static/images/莲.png
鱼,yú,1,1,小鱼的鱼,"鱼,小鱼,金鱼",/static/images/鱼.png
东,dōng,1,1,东方的东,"东方,东西,东风",/static/images/东.png
西,xī,1,1,西瓜的西,"西瓜,西方,西边",/static/images/西.png
北,běi,1,1,北风的北,"北风,北极,北方",/static/images/北.png
尖,jiān,1,1,尖刀的尖,"尖刀,尖头,尖叫声",/static/images/尖.png
说,shuō,1,1,说话的说,"说话,学说,说话人",/static/images/说.png
春,chūn,1,1,春天的春,"春,春天,春雨",/static/images/春.png
青,qīng,1,1,青草的青,"青草,青春,青天",/static/images/青.png
蛙,wā,1,1,青蛙的蛙,"青蛙,青蛙卵,青蛙鸣",/static/images/蛙.png
夏,xià,1,1,夏天的夏,"夏天,夏日,夏令",/static/images/夏.png
弯,wān,1,1,弯道的弯,"弯道,弯曲,弯弯绕",/static/images/弯.png
皮,pí,1,1,皮球的皮,"皮球,皮肤,皮包",/static/images/皮.png
就,jiù,1,1,就是的就,"就,就是,就地",/static/images/就.png
冬,dōng,1,1,冬天的冬,"冬天,冬季,冬眠",/static/images/冬.png
男,nán,1,1,男孩的男,"男孩,男人,男孩儿",/static/images/男.png
女,nǚ,1,1,女孩的女,"女孩,女儿",/static/images/女.png
开,kāi,1,1,开关的开,"开关,开门,开心",/static/images/开.png
关,guān,1,1,开关的关,"开关,关门,关灯",/static/images/关.png
正,zhèng,1,1,正方的正,"正方,正好,正着",/static/images/正.png
反,fǎn,1,1,反射的反,"反射,反对,反正",/static/images/反.png
远,yuǎn,1,1,远方的远,"远方,遥远,远行",/static/images/远.png
有,yǒu,1,1,有水的有,"有水,有人,有理",/static/images/有.png
色,sè,1,1,红色的色,"红色,绿色,蓝色",/static/images/色.png
近,jìn,1,1,附近的近,"近,附近,将近",/static/images/近.png
听,tīng,1,1,听写的听,"听写,听力,听见",/static/images/听.png
无,wú,1,1,无人的无,"无人,无边,无尽",/static/images/无.png
声,shēng,1,1,声音的声,"声音,名声,声波",/static/images/声.png
去,qù,1,1,来去的去,"去,来去,去除",/static/images/去.png
还,hái,1,1,还有的还,"还有,归还,还有",/static/images/还.png
来,lái,1,1,来去的来,"来去,回来,来人",/static/images/来.png
多,duō,1,1,多彩的多,"多,多彩,多种",/static/images/多.png
少,shǎo,1,1,少年的少,"少年,少量,少数",/static/images/少.png
黄,huáng,1,1,黄金的黄,"黄金,黄瓜,黄牛",/static/images/黄.png
牛,niú,1,1,牛奶的牛,"牛,牛奶,牛群",/static/images/牛.png
只,zhǐ,1,1,一只的只,"一只,只有,只要",/static/images/只.png
猫,māo,1,1,猫咪的猫,"猫,猫咪,猫头鹰",/static/images/猫.png
边,biān,1,1,边沿的边,"边沿,边界,边缘",/static/images/边.png
鸭,yā,1,1,鸭子的鸭,"鸭子,鸭蛋,鸭毛",/static/images/鸭.png
苹,píng,1,1,苹果的苹,"苹果,苹果树,苹果汁",/static/images/苹.png
果,guǒ,1,1,果实的果,"果实,苹果,结果",/static/images/果.png
杏,xìng,1,1,杏子的杏,"杏子,杏林,杏坛",/static/images/杏.png
桃,táo,1,1,桃子的桃,"桃子,桃花,桃树",/static/images/桃.png
书,shū,1,1,书桌的书,"书桌,书本,书籍",/static/images/书.png
包,bāo,1,1,书包的包,"包,书包,包子",/static/images/包.png
尺,chǐ,1,1,尺子的尺,"尺子,直尺,尺寸",/static/images/尺.png
作,zuò,1,1,作业的作,"作业,作文,作坊",/static/images/作.png
业,yè,1,1,作业的业,"作业,行业,业绩",/static/images/业.png
本,běn,1,1,书本的本,"书本,本质,本来",/static/images/本.png
笔,bǐ,1,1,铅笔的笔,"笔,铅笔,毛笔",/static/images/笔.png
刀,dāo,1,1,小刀的刀,"刀,小刀,菜刀",/static/images/刀.png
课,kè,1,1,课堂的课,"课堂,课文,课时",/static/images/课.png
早,zǎo,1,1,早上的早,"早上,早晨,早日",/static/images/早.png
校,xiào,1,1,学校的校,"学校,校长,校园",/static/images/校.png
明,míng,1,1,明亮的明,"明亮,明白,明天",/static/images/明.png
力,lì,1,1,力量的力,"力量,力气,尽力",/static/images/力.png
尘,chén,1,1,尘土的尘,"尘土,灰尘,尘世",/static/images/尘.png
从,cóng,1,1,从前的从,"从前,从来,从容",/static/images/从.png
众,zhòng,1,1,群众的众,"群众,众多,众志成城",/static/images/众.png
双,shuāng,1,1,双手的双,"双,双手,双喜",/static/images/双.png
木,mù,1,1,木头的木,"木头,树木,木材",/static/images/木.png
林,lín,1,1,森林的林,"森林,树林,林子",/static/images/林.png
森,sēn,1,1,森林的森,"森林,森严,森然",/static/images/森.png
条,tiáo,1,1,一条鱼的条,"一条鱼,柳条,竹条",/static/images/条.png
心,xīn,1,1,心情的心,"心情,开心,真心",/static/images/心.png
升,shēng,1,1,升高的升,"升高,上升,升学",/static/images/升.png
国,guó,1,1,国家的国,"国家,国旗,国歌",/static/images/国.png
旗,qí,1,1,旗帜的旗,"旗帜,红旗,旗帜林",/static/images/旗.png
中,zhōng,1,1,中心的中,"中心,中间,中午",/static/images/中.png
红,hóng,1,1,红领巾的红,"红领巾,红花,红枣",/static/images/红.png
歌,gē,1,1,歌曲的歌,"歌曲,歌声,歌颂",/static/images/歌.png
起,qǐ,1,1,起跑的起,"起跑,起来,起床",/static/images/起.png
么,me,1,1,什么的么,"什么,什么,什么",/static/images/么.png
美,měi,1,1,美丽的美,"美丽,美景,美好",/static/images/美.png
丽,lì,1,1,美丽的丽,"美丽,丽人,丽水",/static/images/丽.png
立,lì,1,1,立正的立,"立正,站立,立刻",/static/images/立.png
午,wǔ,1,1,中午的午,"中午,午餐,午后",/static/images/午.png
晚,wǎn,1,1,晚上的晚,"晚上,夜晚,晚会",/static/images/晚.png
昨,zuó,1,1,昨天的昨,"昨天,昨夜,昨日",/static/images/昨.png
今,jīn,1,1,今天的今,"今天,今日,今夜",/static/images/今.png
年,nián,1,1,年假的年,"年假,过年,年纪",/static/images/年.png
影,yǐng,1,1,影子的影,"影子,电影,影响",/static/images/影.png
前,qián,1,1,前面的前,"前面,前方,前景",/static/images/前.png
后,hòu,1,1,后边的后,"后边,后来,后天",/static/images/后.png
黑,hēi,1,1,黑板的黑,"黑板,黑色,黑暗",/static/images/黑.png
狗,gǒu,1,1,看狗的狗,"狗,狗狗,看狗",/static/images/狗.png
左,zuǒ,1,1,左脚的左,"左脚,左边,左转",/static/images/左.png
右,yòu,1,1,右手的右,"右手,右边,右转",/static/images/右.png
它,tā,1,1,它的的它,"它的,它的,它的它",/static/images/它.png
好,hǎo,1,1,好人的好,"好人,好事,好学",/static/images/好.png
朋,péng,1,1,朋友的朋,朋友,/static/images/朋.png
友,yǒu,1,1,朋友的友,"朋友,友谊,友好",/static/images/友.png
比,bǐ,1,1,比较的比,"比较,比赛,比喻",/static/images/比.png
尾,wěi,1,1,尾巴的尾,"尾巴,尾部,尾巴尖",/static/images/尾.png
巴,bā,1,1,尾巴的巴,"尾巴,巴掌,巴士",/static/images/巴.png
谁,shuí,1,1,谁家的谁,"谁,谁家,谁说",/static/images/谁.png
长,zhǎng,1,1,长发的长,"长发,长城,长江",/static/images/长.png
短,duǎn,1,1,短裤的短,"短,短裤,短跑",/static/images/短.png
把,bǎ,1,1,把门的把,"把门,把玩,把握",/static/images/把.png
伞,sǎn,1,1,雨伞的伞,"雨伞,遮阳伞",/static/images/伞.png
兔,tù,1,1,兔子的兔,"兔子,野兔,白兔",/static/images/兔.png
最,zuì,1,1,最好的最,"最好,最高,最终",/static/images/最.png
公,gōng,1,1,公园的公,"公园,公司,公共汽车",/static/images/公.png
写,xiě,1,1,写字的写,"写字,写作,写下",/static/images/写.png
诗,shī,1,1,诗歌的诗,"诗歌,诗人,诗意",/static/images/诗.png
点,diǎn,1,1,点头的点,"点,点头,点心",/static/images/点.png
要,yào,1,1,要求的要,"要求,重要,需要",/static/images/要.png
过,guò,1,1,过去的过,"过去,过河,过路",/static/images/过.png
给,gěi,1,1,送给的给,"给,送给,给予",/static/images/给.png
当,dāng,1,1,当天的当,"当天,当心,当务之急",/static/images/当.png
串,chuàn,1,1,串门的串,"串门,串联,串烧",/static/images/串.png
们,men,1,1,我们的们,"我们,咱们,咱们们",/static/images/们.png
以,yǐ,1,1,以后的以,"以后,以为,以及",/static/images/以.png
成,chéng,1,1,成功的成,"成功,成为,成就",/static/images/成.png
彩,cǎi,1,1,彩色的彩,"彩色,精彩,五彩",/static/images/彩.png
半,bàn,1,1,一半的半,"一半,半天,半边",/static/images/半.png
空,kōng,1,1,空白的空,"空白,空气,空闲",/static/images/空.png
问,wèn,1,1,问题的问,"问题,问候,问号",/static/images/问.png
到,dào,1,1,到校的到,"到校,到达,到处",/static/images/到.png
方,fāng,1,1,方形的方,"方方,方形,方便",/static/images/方.png
没,méi,1,1,没有的没,"没,没有,淹没",/static/images/没.png
更,gèng,1,1,更好的更,"更好,更加,更新",/static/images/更.png
绿,lǜ,1,1,绿草的绿,"绿草,绿叶,绿色",/static/images/绿.png
出,chū,1,1,出来的出,"出,出来,出现",/static/images/出.png
睡,shuì,1,1,睡觉的睡,"睡觉,睡眠,睡衣",/static/images/睡.png
那,nà,1,1,那里的那,"那,那里,那么",/static/images/那.png
海,hǎi,1,1,大海的海,"大海,海水,海岸",/static/images/海.png
真,zhēn,1,1,真实的真,"真实,认真,真心",/static/images/真.png
老,lǎo,1,1,老师的老,"老,老师,老人",/static/images/老.png
师,shī,1,1,老师的师,"老师,师傅,师生",/static/images/师.png
吗,ma,1,1,好吗,"好吗,问吗",/static/images/吗.png
同,tóng,1,1,同学的同,"同学,同心,同样",/static/images/同.png
什,shén,1,1,什么的什,"什么,什么,什么",/static/images/什.png
才,cái,1,1,才华的才,"才华,才能,才子",/static/images/才.png
亮,liàng,1,1,明亮的亮,"明亮,闪亮,光亮",/static/images/亮.png
时,shí,1,1,时间的时,"时间,时候,即时",/static/images/时.png
候,hòu,1,1,等候的候,"等候,时候,候鸟",/static/images/候.png
觉,jué,1,1,感觉的觉,"感觉,觉得,觉悟",/static/images/觉.png
得,dé,1,1,得到的得,"得到,得分,得意",/static/images/得.png
自,zì,1,1,自己的自,"自己,自动,自然",/static/images/自.png
己,jǐ,1,1,自己的己,"自己,己方,己见",/static/images/己.png
很,hěn,1,1,很长的很,"很长,很多,很好",/static/images/很.png
穿,chuān,1,1,穿过的穿,"穿,穿过,穿戴",/static/images/穿.png
